cnt,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,days_since_2011
1693,SUMMER,2011,MAR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,3.893021,49.3913,12.3481,85
2028,SUMMER,2011,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,4.424356,30.2174,14.217668,86
2425,SUMMER,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,6.2175,31.4167,15.208732,87
1536,SUMMER,2011,MAR,NO HOLIDAY,WED,WORKING DAY,MISTY,6.1,64.6667,11.583496,88
1685,SUMMER,2011,MAR,NO HOLIDAY,THU,WORKING DAY,RAIN/SNOW/STORM,4.611651,91.8333,14.582282,89
2227,SUMMER,2011,APR,NO HOLIDAY,FRI,WORKING DAY,MISTY,6.1,68.625,17.333436,90
2252,SUMMER,2011,APR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,6.805,65.375,13.208782,91
3249,SUMMER,2011,APR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,9.781651,48,12.208271,92
3115,SUMMER,2011,APR,NO HOLIDAY,MON,WORKING DAY,GOOD,18.946651,42.625,25.833257,93
1795,SUMMER,2011,APR,NO HOLIDAY,TUE,WORKING DAY,MISTY,11.465849,64.2083,26.000489,94
2808,SUMMER,2011,APR,NO HOLIDAY,WED,WORKING DAY,GOOD,10.369151,47.0833,17.625221,95
3141,SUMMER,2011,APR,NO HOLIDAY,THU,WORKING DAY,GOOD,12.5625,60.2917,10.874904,96
1471,SUMMER,2011,APR,NO HOLIDAY,FRI,WORKING DAY,MISTY,7.784151,83.625,15.208464,97
2455,SUMMER,2011,APR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,8.0975,87.75,8.916561,98
2895,SUMMER,2011,APR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,12.053349,85.75,9.833389,99
3348,SUMMER,2011,APR,NO HOLIDAY,MON,WORKING DAY,MISTY,19.995644,71.6956,21.739758,100
2034,SUMMER,2011,APR,NO HOLIDAY,TUE,WORKING DAY,MISTY,15.6175,73.9167,18.416893,101
2162,SUMMER,2011,APR,NO HOLIDAY,WED,WORKING DAY,MISTY,11.3875,81.9167,16.791339,102
3267,SUMMER,2011,APR,NO HOLIDAY,THU,WORKING DAY,GOOD,13.9725,54.0417,7.4169,103
3126,SUMMER,2011,APR,HOLIDAY,FRI,NO WORKING DAY,GOOD,12.993349,67.125,15.167125,104
795,SUMMER,2011,APR,NO HOLIDAY,SAT,NO WORKING DAY,RAIN/SNOW/STORM,12.249151,88.8333,22.834136,105
3744,SUMMER,2011,APR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,13.463349,47.9583,20.334232,106
3429,SUMMER,2011,APR,NO HOLIDAY,MON,WORKING DAY,GOOD,16.0875,54.25,10.958989,107
3204,SUMMER,2011,APR,NO HOLIDAY,TUE,WORKING DAY,MISTY,15.774151,66.5833,10.584057,108
3944,SUMMER,2011,APR,NO HOLIDAY,WED,WORKING DAY,GOOD,19.965,61.4167,16.208975,109
4189,SUMMER,2011,APR,NO HOLIDAY,THU,WORKING DAY,GOOD,13.580849,40.7083,21.792286,110
1683,SUMMER,2011,APR,NO HOLIDAY,FRI,WORKING DAY,MISTY,7.823349,72.9583,14.707907,111
4036,SUMMER,2011,APR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,13.62,88.7917,15.458575,112
4191,SUMMER,2011,APR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,19.338349,81.0833,12.875725,113
4073,SUMMER,2011,APR,NO HOLIDAY,MON,WORKING DAY,GOOD,20.513349,77.6667,12.417311,114
4400,SUMMER,2011,APR,NO HOLIDAY,TUE,WORKING DAY,GOOD,21.688349,72.9167,21.8755,115
3872,SUMMER,2011,APR,NO HOLIDAY,WED,WORKING DAY,MISTY,21.14,83.5417,20.9174,116
4058,SUMMER,2011,APR,NO HOLIDAY,THU,WORKING DAY,MISTY,21.0225,70.0833,21.500836,117
4595,SUMMER,2011,APR,NO HOLIDAY,FRI,WORKING DAY,GOOD,15.97,45.7083,16.084221,118
5312,SUMMER,2011,APR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,14.2075,50.3333,15.750025,119
3351,SUMMER,2011,MAY,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,13.228349,76.2083,7.125718,120
4401,SUMMER,2011,MAY,NO HOLIDAY,MON,WORKING DAY,MISTY,17.810849,73,12.291418,121
4451,SUMMER,2011,MAY,NO HOLIDAY,TUE,WORKING DAY,MISTY,20.983349,69.7083,22.958689,122
2633,SUMMER,2011,MAY,NO HOLIDAY,WED,WORKING DAY,MISTY,11.465849,73.7083,22.042732,123
4433,SUMMER,2011,MAY,NO HOLIDAY,THU,WORKING DAY,GOOD,13.580849,44.4167,19.791264,124
4608,SUMMER,2011,MAY,NO HOLIDAY,FRI,WORKING DAY,GOOD,14.520849,59,15.292482,125
4714,SUMMER,2011,MAY,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,16.44,54.125,10.75015,126
4333,SUMMER,2011,MAY,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,16.831651,63.1667,5.0007125,127
4362,SUMMER,2011,MAY,NO HOLIDAY,MON,WORKING DAY,GOOD,17.0275,58.875,11.792,128
4803,SUMMER,2011,MAY,NO HOLIDAY,TUE,WORKING DAY,GOOD,17.0275,48.9167,7.749957,129
4182,SUMMER,2011,MAY,NO HOLIDAY,WED,WORKING DAY,GOOD,17.4975,63.2917,8.083014,130
4864,SUMMER,2011,MAY,NO HOLIDAY,THU,WORKING DAY,GOOD,17.145,74.75,12.707689,131
4105,SUMMER,2011,MAY,NO HOLIDAY,FRI,WORKING DAY,MISTY,16.0875,86.3333,12.041575,132
3409,SUMMER,2011,MAY,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,16.479151,92.25,9.04165,133
4553,SUMMER,2011,MAY,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,18.4375,86.7083,10.249593,134
3958,SUMMER,2011,MAY,NO HOLIDAY,MON,WORKING DAY,GOOD,19.1425,78.7917,8.500357,135
4123,SUMMER,2011,MAY,NO HOLIDAY,TUE,WORKING DAY,MISTY,18.398349,83.7917,18.582718,136
3855,SUMMER,2011,MAY,NO HOLIDAY,WED,WORKING DAY,MISTY,17.85,87,13.499964,137
4575,SUMMER,2011,MAY,NO HOLIDAY,THU,WORKING DAY,MISTY,16.949151,82.9583,7.250271,138
4917,SUMMER,2011,MAY,NO HOLIDAY,FRI,WORKING DAY,GOOD,17.223349,71.9583,8.375871,139
5805,SUMMER,2011,MAY,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,20.3175,62.6667,8.08355,140
4660,SUMMER,2011,MAY,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,20.395849,74.9583,9.916536,141
4274,SUMMER,2011,MAY,NO HOLIDAY,MON,WORKING DAY,MISTY,21.688349,81,15.667414,142
4492,SUMMER,2011,MAY,NO HOLIDAY,TUE,WORKING DAY,MISTY,23.02,74.0833,13.875164,143
4978,SUMMER,2011,MAY,NO HOLIDAY,WED,WORKING DAY,GOOD,23.059151,69.625,10.333611,144
4677,SUMMER,2011,MAY,NO HOLIDAY,THU,WORKING DAY,GOOD,25.291651,67.75,13.376014,145
4679,SUMMER,2011,MAY,NO HOLIDAY,FRI,WORKING DAY,GOOD,24.038349,65.375,16.125493,146
4758,SUMMER,2011,MAY,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,22.824151,72.9583,15.416164,147
4788,SUMMER,2011,MAY,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,23.3725,81.875,14.333846,148
4098,SUMMER,2011,MAY,HOLIDAY,MON,NO WORKING DAY,GOOD,26.466651,68.5,8.792075,149
3982,SUMMER,2011,MAY,NO HOLIDAY,TUE,WORKING DAY,GOOD,28.425,63.6667,7.459043,150
3974,SUMMER,2011,JUN,NO HOLIDAY,WED,WORKING DAY,MISTY,27.915849,67.7083,13.875164,151
4968,SUMMER,2011,JUN,NO HOLIDAY,THU,WORKING DAY,GOOD,25.605,30.5,19.583229,152
5312,SUMMER,2011,JUN,NO HOLIDAY,FRI,WORKING DAY,GOOD,21.14,35.4167,16.959107,153
5342,SUMMER,2011,JUN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,21.845,45.625,8.250514,154
4906,SUMMER,2011,JUN,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,22.471651,65.25,9.292364,155
4548,SUMMER,2011,JUN,NO HOLIDAY,MON,WORKING DAY,GOOD,23.881651,60,8.167032,156
4833,SUMMER,2011,JUN,NO HOLIDAY,TUE,WORKING DAY,GOOD,25.2525,59.7917,12.583136,157
4401,SUMMER,2011,JUN,NO HOLIDAY,WED,WORKING DAY,GOOD,28.464151,62.2083,9.166739,158
3915,SUMMER,2011,JUN,NO HOLIDAY,THU,WORKING DAY,MISTY,29.991651,56.8333,10.042161,159
4586,SUMMER,2011,JUN,NO HOLIDAY,FRI,WORKING DAY,GOOD,27.485,60.5,9.417118,160
4966,SUMMER,2011,JUN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,26.075,65.4583,10.37495,161
4460,SUMMER,2011,JUN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,24.5475,74.7917,10.958989,162
5020,SUMMER,2011,JUN,NO HOLIDAY,MON,WORKING DAY,GOOD,21.845,49.4583,20.45845,163
4891,SUMMER,2011,JUN,NO HOLIDAY,TUE,WORKING DAY,GOOD,20.395849,50.7083,18.041961,164
5180,SUMMER,2011,JUN,NO HOLIDAY,WED,WORKING DAY,GOOD,21.453349,47.1667,11.250104,165
3767,SUMMER,2011,JUN,NO HOLIDAY,THU,WORKING DAY,MISTY,21.531651,68.8333,13.833557,166
4844,SUMMER,2011,JUN,NO HOLIDAY,FRI,WORKING DAY,GOOD,22.510849,73.5833,9.582943,167
5119,SUMMER,2011,JUN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,24.743349,67.0417,8.000336,168
4744,SUMMER,2011,JUN,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,24.860849,66.6667,6.834,169
4010,SUMMER,2011,JUN,NO HOLIDAY,MON,WORKING DAY,MISTY,21.845,74.625,10.416825,170
4835,FALL,2011,JUN,NO HOLIDAY,TUE,WORKING DAY,MISTY,23.999151,77.0417,11.458675,171
4507,FALL,2011,JUN,NO HOLIDAY,WED,WORKING DAY,GOOD,26.466651,70.75,11.541554,172
4790,FALL,2011,JUN,NO HOLIDAY,THU,WORKING DAY,MISTY,26.231651,70.3333,15.999868,173
4991,FALL,2011,JUN,NO HOLIDAY,FRI,WORKING DAY,GOOD,26.035849,57.3333,14.875675,174
5202,FALL,2011,JUN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,24.665,48.3333,14.041257,175
5305,FALL,2011,JUN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,23.96,51.3333,6.3337311,176
4708,FALL,2011,JUN,NO HOLIDAY,MON,WORKING DAY,MISTY,24.0775,65.8333,7.208396,177
4648,FALL,2011,JUN,NO HOLIDAY,TUE,WORKING DAY,GOOD,26.975849,63.4167,9.666961,178
5225,FALL,2011,JUN,NO HOLIDAY,WED,WORKING DAY,GOOD,26.231651,49.7917,17.542007,179
5515,FALL,2011,JUN,NO HOLIDAY,THU,WORKING DAY,GOOD,24.743349,43.4167,12.415904,180
5362,FALL,2011,JUL,NO HOLIDAY,FRI,WORKING DAY,GOOD,25.9575,39.625,6.874736,181
5119,FALL,2011,JUL,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,26.701651,44.4583,7.709154,182
4649,FALL,2011,JUL,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,25.683349,68.25,15.333486,183
6043,FALL,2011,JUL,HOLIDAY,MON,NO WORKING DAY,MISTY,26.153349,63.7917,5.4591064,184
4665,FALL,2011,JUL,NO HOLIDAY,TUE,WORKING DAY,GOOD,27.093349,59.0417,8.459286,185
4629,FALL,2011,JUL,NO HOLIDAY,WED,WORKING DAY,GOOD,25.84,74.3333,10.042161,186
4592,FALL,2011,JUL,NO HOLIDAY,THU,WORKING DAY,GOOD,27.25,65.125,10.6664,187
4040,FALL,2011,JUL,NO HOLIDAY,FRI,WORKING DAY,MISTY,25.330849,75.7917,15.083643,188
5336,FALL,2011,JUL,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,26.466651,60.9167,11.250104,189
4881,FALL,2011,JUL,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,27.1325,57.8333,12.292557,190
4086,FALL,2011,JUL,NO HOLIDAY,MON,WORKING DAY,GOOD,27.8375,63.5833,18.916579,191
4258,FALL,2011,JUL,NO HOLIDAY,TUE,WORKING DAY,GOOD,29.325849,55.9167,13.417018,192
4342,FALL,2011,JUL,NO HOLIDAY,WED,WORKING DAY,GOOD,27.093349,63.1667,9.790911,193
5084,FALL,2011,JUL,NO HOLIDAY,THU,WORKING DAY,GOOD,23.999151,47.625,16.124689,194
5538,FALL,2011,JUL,NO HOLIDAY,FRI,WORKING DAY,GOOD,23.176651,59.125,12.249811,195
5923,FALL,2011,JUL,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,24.273349,58.5,13.958914,196
5302,FALL,2011,JUL,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,25.800849,60.4167,16.417211,197
4458,FALL,2011,JUL,NO HOLIDAY,MON,WORKING DAY,GOOD,27.093349,65.125,14.458868,198
4541,FALL,2011,JUL,NO HOLIDAY,TUE,WORKING DAY,GOOD,28.503349,65.0417,8.7502,199
4332,FALL,2011,JUL,NO HOLIDAY,WED,WORKING DAY,GOOD,28.111651,70.7083,7.625739,200
3784,FALL,2011,JUL,NO HOLIDAY,THU,WORKING DAY,MISTY,30.305,69.125,14.875407,201
3387,FALL,2011,JUL,NO HOLIDAY,FRI,WORKING DAY,GOOD,31.871651,58.0417,8.9177,202
3285,FALL,2011,JUL,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,31.910849,50,8.791807,203
3606,FALL,2011,JUL,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,31.01,55.0833,11.334457,204
3840,FALL,2011,JUL,NO HOLIDAY,MON,WORKING DAY,GOOD,26.936651,75.7083,6.0841561,205
4590,FALL,2011,JUL,NO HOLIDAY,TUE,WORKING DAY,GOOD,28.268349,54.0833,13.417286,206
4656,FALL,2011,JUL,NO HOLIDAY,WED,WORKING DAY,GOOD,28.425,40.2917,12.292021,207
4390,FALL,2011,JUL,NO HOLIDAY,THU,WORKING DAY,GOOD,28.620849,58.3333,11.958093,208
3846,FALL,2011,JUL,NO HOLIDAY,FRI,WORKING DAY,GOOD,31.401651,54.25,11.667246,209
4475,FALL,2011,JUL,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,29.795849,46.5833,11.291979,210
4302,FALL,2011,JUL,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,29.874151,48.0833,11.042471,211
4266,FALL,2011,AUG,NO HOLIDAY,MON,WORKING DAY,GOOD,28.268349,55.0833,10.500039,212
4845,FALL,2011,AUG,NO HOLIDAY,TUE,WORKING DAY,GOOD,28.816651,49.125,13.79195,213
3574,FALL,2011,AUG,NO HOLIDAY,WED,WORKING DAY,MISTY,26.388349,65.75,9.084061,214
4576,FALL,2011,AUG,NO HOLIDAY,THU,WORKING DAY,MISTY,25.37,75.75,13.20905,215
4866,FALL,2011,AUG,NO HOLIDAY,FRI,WORKING DAY,GOOD,25.409151,63.0833,12.374632,216
4294,FALL,2011,AUG,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,25.683349,75.5,15.29275,217
3785,FALL,2011,AUG,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,26.8975,75.2917,13.499629,218
4326,FALL,2011,AUG,NO HOLIDAY,MON,WORKING DAY,GOOD,27.955,59.2083,12.875725,219
4602,FALL,2011,AUG,NO HOLIDAY,TUE,WORKING DAY,GOOD,28.425,57.0417,10.125107,220
4780,FALL,2011,AUG,NO HOLIDAY,WED,WORKING DAY,GOOD,28.033349,42.4167,13.417286,221
4792,FALL,2011,AUG,NO HOLIDAY,THU,WORKING DAY,GOOD,25.7225,42.375,11.041332,222
4905,FALL,2011,AUG,NO HOLIDAY,FRI,WORKING DAY,GOOD,25.291651,41.5,8.416607,223
4150,FALL,2011,AUG,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,24.234151,72.9583,14.167418,224
3820,FALL,2011,AUG,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,23.803349,81.75,14.916411,225
4338,FALL,2011,AUG,NO HOLIDAY,MON,WORKING DAY,GOOD,23.294151,71.2083,13.999918,226
4725,FALL,2011,AUG,NO HOLIDAY,TUE,WORKING DAY,GOOD,24.939151,57.8333,15.834043,227
4694,FALL,2011,AUG,NO HOLIDAY,WED,WORKING DAY,GOOD,25.996651,57.5417,9.625689,228
3805,FALL,2011,AUG,NO HOLIDAY,THU,WORKING DAY,GOOD,25.448349,65.4583,15.624936,229
4153,FALL,2011,AUG,NO HOLIDAY,FRI,WORKING DAY,MISTY,24.195,72.2917,9.333636,230
5191,FALL,2011,AUG,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,24.7825,67.4167,6.999289,231
3873,FALL,2011,AUG,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,25.409151,77,16.666518,232
4758,FALL,2011,AUG,NO HOLIDAY,MON,WORKING DAY,GOOD,24.508349,47,18.54225,233
5895,FALL,2011,AUG,NO HOLIDAY,TUE,WORKING DAY,GOOD,22.119151,45.5417,9.833121,234
5130,FALL,2011,AUG,NO HOLIDAY,WED,WORKING DAY,GOOD,23.646651,60.5,16.958236,235
